threshold,hidden,target,MRE,k
0.4,30,1,1.1142449244283898,6
0.4,30,2,1.030263877985179,6
0.4,30,3,0.017327745003172645,5
0.4,40,0,0.5109832962725408,6
0.4,40,1,0.9439753913435963,6
0.4,40,2,1.5222384995840366,6
0.4,40,3,0.03314528932816626,5
0.4,50,0,0.5721039393371242,6
0.4,50,1,1.3587154035290634,6
0.4,50,2,0.6785066736589032,6
0.4,50,3,0.035411425561407216,5
0.4,60,0,0.5511635235787029,6
0.4,60,1,1.2455673975764223,6
0.4,60,2,1.1580998691557707,6
0.4,60,3,0.028306739572848454,5
0.4,70,0,0.7336033818766999,6
0.4,70,1,1.2989867764947132,6
0.4,70,2,0.6459560473302534,6
0.4,70,3,0.01100621139015004,5
0.4,80,0,0.6780714279976008,6
0.4,80,1,0.828022411516401,6
0.4,80,2,0.5253621070069651,6
0.4,80,3,0.03516750726781719,5
0.4,90,0,0.5245166080827677,6
0.4,90,1,1.4080816370093023,6
0.4,90,2,1.0835604164221453,6
0.4,90,3,0.012528731627957092,5
0.4,100,0,0.5863806284603037,6
0.4,100,1,1.159772967440613,6
0.4,100,2,1.3653210140910752,6
0.4,100,3,0.012955851492915327,5
0.4,110,0,0.4863504904868853,6
0.4,110,1,1.2671761509181763,6
0.4,110,2,0.5371851504090809,6
0.4,110,3,0.013755417544128975,5
0.4,120,0,0.4971904651558286,6
0.4,120,1,1.471679056441908,6
0.4,120,2,1.2362662280615315,6
0.4,120,3,0.022722764610522164,5
0.4,130,0,0.4754198365600445,6
0.4,130,1,0.9993779969028523,6
0.4,130,2,1.450705057583047,6
0.4,130,3,0.014298667359851754,5
0.4,140,0,0.5050214098489386,6
0.4,140,1,1.1484472863910644,6
0.4,140,2,0.7169351436649585,6
0.4,140,3,0.014771319577236966,5
0.4,150,0,0.4953595443216339,6
0.4,150,1,1.2434221473843208,6
0.4,150,2,0.5137584429443577,6
0.4,150,3,0.01326874984834564,5
0.4,160,0,0.8753218128217142,6
0.4,160,1,0.799227157201582,6
0.4,160,2,0.8399537792115174,6
0.4,160,3,0.02474521605110098,5
0.4,170,0,0.5009039710855243,6
0.4,170,1,1.1289506862775789,6
0.4,170,2,1.1738300924094562,6
0.4,170,3,0.029348941343455368,5
0.4,180,0,0.9006705546188455,6
0.4,180,1,1.3706023070838977,6
0.4,180,2,0.6348140841129354,6
0.4,180,3,0.02202788279149188,5
0.4,190,0,0.525550857690262,6
0.4,190,1,1.3561283582401369,6
0.4,190,2,0.6015661747248091,6
0.4,190,3,0.03958559966585821,5
0.4,200,0,0.8060507773859859,6
0.4,200,1,1.6958831887685615,6
0.4,200,2,0.6291019001087228,6
0.4,200,3,0.030448803460185886,5
0.5,10,0,0.5539567958870418,5
0.5,10,1,0.9654176160109881,5
0.5,10,2,0.5863427310939687,5
0.5,10,3,0.0270944710270049,5
0.5,20,0,0.5397136163991474,5
0.5,20,1,1.25598869905568,5
0.5,20,2,0.7118491702252937,5
0.5,20,3,0.015605713361244717,5
0.5,30,0,0.5938429974582232,5
0.5,30,1,1.0203377211253026,5
0.5,30,2,0.6007293938716989,5
0.5,30,3,0.017327745003172645,5
0.5,40,0,0.6864334457180068,5
0.5,40,1,1.0329390949045336,5
0.5,40,2,0.7355022704891414,5
0.5,40,3,0.03314528932816626,5
0.5,50,0,0.5384035370541322,5
0.5,50,1,0.8887033679354829,5
0.5,50,2,0.7527307096148511,5
0.5,50,3,0.035411425561407216,5
0.5,60,0,0.5855031731551507,5
0.5,60,1,1.8116372110683694,5
0.5,60,2,0.602986730527488,5
0.5,60,3,0.028306739572848454,5
0.5,70,0,0.534683439944335,5
0.5,70,1,1.642522502755518,5
0.5,70,2,0.5863220322839761,5
0.5,70,3,0.01100621139015004,5
0.5,80,0,0.7991079172445332,5
0.5,80,1,1.3967506648850099,5
0.5,80,2,0.7113524594568503,5
0.5,80,3,0.03516750726781719,5
0.5,90,0,0.44822084167091025,5
0.5,90,1,1.1595978304971943,5
0.5,90,2,0.6339070496341538,5
0.5,90,3,0.012528731627957092,5
0.5,100,0,0.6424504479836588,5
0.5,100,1,1.4795346764719994,5
